ID	A10R	A11R	A12R	A13R	A14R	A15R	A16R	A17R	A18R	A19R	A1R	A20R	A21R	A22R	A23R	A24R	A25R	A26R	A27R	A28R	A29R	A2R	A30R	A31R	A32R	A33R	A34R	A35R	A36R	A37R	A38R	A39R	A3R	A40R	A41R	A42R	A43R	A44R	A45R	A46R	A47R	A48R	A49R	A4R	A50R	A51R	A52R	A53R	A54R	A55R	A56R	A57R	A58R	A59R	A5R	A60R	A6R	A7R	A8R	A9R
A46R_scaffold110|length_1282	1	0	0	1	0	0	1	0	0	1	0	2	0	1	0	0	0	0	2	0	0	0	0	1	1	0	1	0	0	23	0	0	0	0	2	85	1	0	0	2821	12	0	0	3	1	0	0	0	4	0	0	0	0	2	0	2	1	0	0	0
A53R_scaffold1571|length_516	0	0	6	0	1	0	80	4	2	1	0	10	0	3	3	1	14	64	5	161	3	0	0	0	37	0	1	0	83	153	60	0	11	11	50	2	0	0	0	35	51	265	310	318	30	2	1	229	3	74	191	6	0	312	68	20	9	132	13	0
A39R_scaffold335|length_602	1	0	4	1	2	0	0	2	1	0	45	4	1	0	0	0	8	0	0	0	0	139	0	0	0	24	1	442	481	0	1	800	76	36	37	0	25	3	342	0	4	1	3	2	0	0	1	0	0	5	273	10	0	5	0	4	3	0	40	2
A58R_scaffold375|length_739	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	34	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2578	26	0	35	0	0	0	0
A37R_scaffold900|length_870	0	0	46	0	0	0	154	2	5	0	1	2	0	1	18	5	3	30	0	220	2	0	2	0	47	3	6	0	91	140	104	0	17	29	79	3	4	0	0	25	45	293	245	343	61	4	0	323	3	19	99	1	0	158	27	17	16	64	14	0
A28R_scaffold1052|length_623	30	38	38	4	39	31	41	42	17	38	0	78	8	0	28	6	80	11	23	143	27	1	111	5	65	9	4	1	33	50	69	0	16	16	20	1	0	1	0	27	124	59	150	18	24	15	0	572	16	59	88	2	0	364	14	69	17	20	1	7
A39R_scaffold217|length_752	2	0	4	1	1	2	7	3	1	4	184	1	1	2	1	1	6	0	2	0	0	111	0	0	0	86	0	207	163	4	1	1338	50	80	46	3	23	7	114	0	7	3	0	17	0	0	0	1	0	0	56	2	0	0	5	4	4	0	198	1
A20R_scaffold1|length_3164	0	0	0	0	0	0	0	0	0	0	0	2695	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1R_scaffold1|length_3727	10	2	0	1	0	1	0	0	0	2	49	0	0	0	1	0	0	0	0	0	0	2303	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	1	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	23	5	32	3
A12R_scaffold988|length_733	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	363	107	0	0	0	4	0	0	0	0	0	1	0	0	0	4	1	0	1	1	0	0	0	2031	31	0	24	0	0	0	0
A37R_scaffold2563|length_533	0	77	128	21	0	0	140	76	4	7	0	197	299	74	169	335	141	12	2	29	193	0	1	0	8	0	5	0	3	17	11	0	9	2	4	4	0	1	0	3	0	9	10	0	1	7	3	131	53	5	20	5	0	13	0	191	0	3	2	155
A21R_scaffold9|length_2494	0	0	0	0	0	0	18	2	32	0	0	2	348	0	35	0	2	2	0	81	0	0	0	0	281	1	0	1	26	49	34	0	2	13	66	2	2	0	0	10	56	131	81	8	34	6	0	161	2	105	18	4	0	750	0	1	1	16	0	12
A36R_scaffold17|length_2531	0	0	9	13	0	0	16	0	5	0	0	0	1	237	1	0	2	71	0	278	15	0	1	1	102	16	0	0	48	282	483	0	1	23	51	2	0	0	0	18	416	6	43	2	51	0	8	39	0	3	82	7	0	50	0	0	0	0	0	0
A40R_scaffold7|length_3155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1155	40	1053	15	4	0	1	16	3	0	0	0	0	0	0	0	0	22	0	0	0	0	1	2	0	0	2
A1R_scaffold498|length_856	6	0	0	1	0	0	1	4	0	0	520	0	0	0	0	0	5	0	0	0	0	192	0	0	1	168	0	4	12	8	0	14	353	431	10	1	4	1	98	1	2	5	1	25	0	0	0	6	0	1	68	3	0	3	12	1	8	2	312	0
A18R_scaffold955|length_709	2	0	0	0	3	0	2	0	1	0	1	5	0	0	0	0	49	0	0	0	0	1	1	0	1	920	1	6	8	1	0	9	3	1	0	0	0	1	8	0	0	2	0	1	1	0	4	8	8	0	1138	20	0	22	0	25	7	2	0	0
A58R_scaffold607|length_578	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	141	40	0	0	1	1	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1946	15	0	27	0	0	0	0
A43R_scaffold9|length_2092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A36R_scaffold952|length_624	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	1	0	0	9	0	5	0	0	3	0	0	1302	745	4	10	5	0	8	7	0	2	2	0	0	4	7	3	0	1	1	0	9	0	0	6	0	0	2	0	0	0	0	4	0
A45R_scaffold192|length_742	1	0	0	1	0	0	0	1	0	0	376	0	1	1	0	0	6	0	0	0	0	375	0	0	0	225	0	0	0	2	1	1	73	253	10	0	0	0	446	1	11	0	0	4	0	0	0	0	0	0	70	2	0	2	7	0	1	0	260	0
A45R_scaffold110|length_882	0	0	0	1	3	1	3	0	0	0	37	1	0	0	0	0	8	0	4	0	0	125	0	0	0	140	1	302	325	1	0	519	23	22	19	1	8	4	359	0	3	1	1	3	0	1	0	0	0	0	148	4	0	0	4	1	4	2	20	0
A37R_scaffold2318|length_561	46	40	10	31	138	35	15	34	8	47	0	84	47	83	46	61	65	6	21	30	47	0	59	99	20	14	6	0	2	11	18	0	54	1	12	2	39	4	0	0	17	74	19	15	62	136	95	9	9	100	4	3	0	64	5	162	25	25	6	18
A39R_scaffold301|length_648	3	1	0	0	1	0	0	0	0	0	213	1	0	0	1	0	17	0	0	0	0	43	0	0	0	15	0	141	265	0	0	391	11	343	20	0	11	17	310	2	14	4	0	1	0	0	0	0	0	0	185	7	0	4	0	7	0	4	48	0
A56R_scaffold515|length_671	4	2	2	0	0	0	0	0	0	3	72	0	4	0	0	0	4	0	0	0	0	1178	0	0	0	31	0	42	69	0	0	161	129	6	8	1	0	0	113	0	0	0	0	26	0	0	0	0	0	2	57	2	0	1	5	2	6	5	143	0
A39R_scaffold79|length_1339	37	32	5	0	4	19	2	7	2	27	62	7	0	0	1	3	10	0	231	0	0	42	1	4	10	11	2	133	183	0	0	482	78	92	30	3	24	5	103	0	6	7	3	10	5	3	5	1	6	12	85	2	0	5	28	3	180	36	23	4
NC_001367.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	2	2	559	123	0	0	1	3	0	0	0	0	1	1	0	0	0	4	0	0	1	0	0	1	0	1297	38	0	30	0	0	0	0
NC_001556.1	0	0	2	18	0	0	5	0	3	0	0	0	0	339	2	1	9	160	1	163	15	0	2	0	46	15	1	2	36	298	364	0	0	16	26	0	0	5	0	15	204	4	31	6	62	0	5	34	0	10	133	5	0	22	0	5	1	0	0	0
A55R_scaffold136|length_1047	39	13	4	0	10	10	9	7	3	2	0	16	2	0	3	0	9	0	0	31	75	3	4	41	10	7	3	0	10	21	10	0	44	3	96	2	35	5	0	2	17	8	45	21	8	14	1	175	128	786	23	2	0	167	12	39	6	27	0	45
A58R_scaffold165|length_1063	0	18	114	1	35	0	4	0	2	26	0	3	6	3	1	18	2	5	51	0	3	0	40	0	0	0	0	0	0	179	25	0	2	0	1	6	4	0	0	1	4	1	0	1	6	2	1	0	0	4	0	0	1396	28	2	21	7	10	9	0
A56R_scaffold16|length_2657	0	1	0	2	0	0	0	0	1	7	210	0	3	0	1	0	27	0	0	1	0	213	0	0	0	222	0	71	61	6	4	31	70	137	4	0	4	1	49	0	15	1	3	43	0	0	2	0	1	1	597	9	0	3	15	14	1	2	181	0
A36R_scaffold779|length_689	0	0	2	0	0	0	29	1	3	1	0	0	2	1	15	0	0	12	0	149	1	0	4	0	59	1	1	0	39	45	88	0	20	14	54	0	0	0	0	16	68	335	347	167	62	1	0	257	0	50	52	1	0	78	7	5	2	10	2	0
A39R_scaffold155|length_873	0	2	0	1	3	0	2	0	1	2	51	1	5	0	0	0	50	0	0	0	0	82	0	0	0	13	0	164	142	0	0	506	4	27	30	2	7	3	196	0	6	2	0	0	0	0	2	1	0	0	628	11	1	3	0	10	3	1	20	0
A39R_scaffold263|length_704	0	2	0	1	2	1	0	0	0	0	212	2	0	0	1	0	32	0	0	0	0	125	0	0	0	15	0	157	161	2	0	316	80	100	15	2	6	1	121	0	0	5	0	1	0	2	0	0	0	0	325	7	0	4	9	5	8	1	176	0
A46R_scaffold402|length_751	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	53	0	0	0	0	1	623	0	0	0	1179	6	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
A36R_scaffold170|length_1355	0	28	0	0	0	2	0	5	0	2	20	0	1	1	0	0	6	0	9	11	2	187	0	0	15	6	1	186	199	18	12	762	79	23	25	1	15	8	55	1	5	21	0	23	0	1	3	8	0	5	38	0	0	2	0	1	50	2	33	0
A42R_scaffold25|length_2433	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	158	0	0	0	1592	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A46R_scaffold353|length_796	24	13	0	3	7	12	1	19	3	14	0	39	2	1	5	6	0	0	29	2	2	2	9	19	2	3	3	0	0	27	1	0	52	0	5	37	5	10	0	1142	2	14	0	24	11	27	21	1	30	30	0	2	0	21	9	53	45	8	0	4
A49R_scaffold57|length_1148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1781	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
A2R_scaffold2|length_7100	0	0	0	0	0	0	0	1	1	0	33	2	0	0	0	0	0	0	0	0	0	1330	0	0	0	0	0	0	0	0	0	0	294	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	12	0	5	5	22	1
A58R_scaffold90|length_1384	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	7	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1680	12	0	14	0	0	0	0
A58R_scaffold706|length_526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	98	16	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1578	24	0	20	0	0	0	0
A58R_scaffold596|length_583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	118	19	0	0	0	2	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1473	38	0	22	0	0	0	0
A26R_scaffold171|length_1497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1646	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_004422.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
A58R_scaffold697|length_528	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	57	8	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1471	50	0	30	0	0	0	0
A28R_scaffold792|length_742	0	0	1	0	0	0	1	0	2	0	0	0	0	0	13	0	2	3	0	287	4	0	5	2	233	0	0	9	50	69	214	0	0	54	99	0	1	5	0	17	60	64	9	0	9	0	0	175	2	19	66	2	0	136	0	3	0	0	0	0
A45R_scaffold193|length_739	1	1	0	0	0	0	0	0	1	0	87	1	1	0	0	1	10	0	0	0	0	237	1	0	0	72	0	105	78	1	0	113	49	77	2	1	3	1	583	1	4	2	0	4	2	0	0	0	0	0	97	2	0	2	1	1	1	0	46	0
A46R_scaffold815|length_520	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	25	1	0	0	0	0	52	0	0	0	1500	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
A36R_scaffold667|length_743	0	1	0	0	0	0	0	0	1	0	23	0	0	1	0	0	10	0	2	0	0	44	0	0	0	11	0	498	389	0	0	111	34	18	5	0	4	1	158	0	4	2	0	0	1	0	0	0	0	0	219	4	0	3	0	3	1	0	25	0
A37R_scaffold373|length_1211	18	32	30	226	7	9	5	28	3	17	0	59	82	29	57	59	12	28	3	2	23	0	10	5	42	2	12	0	0	9	0	0	24	0	18	24	61	20	0	1	7	42	10	15	59	91	34	2	151	41	1	1	0	62	5	11	14	7	3	14
A45R_scaffold258|length_618	0	0	1	2	1	0	0	1	0	0	195	0	0	0	0	1	1	0	0	0	0	87	0	0	1	64	0	132	146	0	0	61	27	91	10	0	4	1	471	0	8	5	0	5	0	0	0	0	0	0	44	1	0	1	6	0	2	2	121	0
A45R_scaffold253|length_633	0	0	0	2	0	0	0	0	0	0	37	0	0	0	0	0	1	0	0	2	0	15	0	0	0	13	0	19	29	0	0	24	6	17	0	0	1	1	1227	2	8	0	0	0	0	0	0	0	0	0	27	0	0	1	0	0	0	0	55	0
A1R_scaffold1140|length_545	0	0	0	0	1	1	0	3	0	0	168	0	0	0	1	0	11	0	1	0	0	131	3	0	0	207	0	148	104	0	0	134	64	151	9	0	9	4	50	0	1	0	0	8	0	0	0	0	0	0	99	11	0	1	0	2	2	2	122	1
A58R_scaffold639|length_563	16	277	1	1	1	1	1	6	4	112	0	15	4	2	0	4	4	0	80	0	2	0	21	8	12	31	3	1	0	5	2	0	4	0	2	0	1	0	0	0	0	2	0	49	3	6	21	0	7	19	0	7	553	14	20	22	67	12	0	5
A45R_scaffold204|length_706	1	0	0	0	0	0	1	0	0	0	181	1	2	0	1	0	3	0	2	0	0	153	0	0	0	22	0	67	94	0	1	1	45	210	2	1	6	1	459	4	5	0	0	20	0	0	0	0	0	1	53	1	0	3	1	2	8	2	57	0
NC_001918.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1352	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0
A46R_scaffold404|length_750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	32	0	0	0	1295	12	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
A45R_scaffold329|length_519	0	0	0	0	0	0	0	0	0	0	271	0	0	0	0	0	2	0	0	0	0	12	0	0	0	0	0	18	14	0	0	1	36	210	4	0	7	1	649	0	14	2	0	1	0	0	0	0	0	0	47	2	0	1	7	0	2	0	55	0
A45R_scaffold273|length_597	3	5	0	0	0	0	2	5	0	1	171	0	0	0	0	0	2	0	0	1	0	54	0	0	0	141	0	70	86	4	0	135	143	116	11	2	5	1	161	0	1	1	1	17	1	0	0	2	1	0	72	6	0	0	0	1	3	0	118	0
A38R_scaffold1084|length_760	39	9	45	2	24	23	6	30	5	70	0	45	12	13	13	12	25	3	18	4	4	0	34	8	49	8	33	0	0	4	12	0	28	0	72	11	57	35	0	0	14	29	10	2	20	118	70	5	165	56	0	5	1	17	0	21	18	16	3	5
A53R_scaffold949|length_603	0	0	2	0	0	0	3	0	5	0	0	4	0	0	13	1	6	4	0	53	0	0	0	0	5	0	0	0	45	70	40	0	3	10	24	1	0	0	0	10	24	195	210	198	34	6	1	203	0	19	73	3	0	22	9	1	9	18	4	0
NC_004364.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1322	0	0	0	0	0	0	0	0
A46R_scaffold417|length_735	0	4	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	48	0	1	2	0	0	14	0	0	0	1222	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0
A56R_scaffold1|length_6129	0	0	0	0	0	1	0	0	0	0	0	5	1	0	0	0	40	0	0	6	1	0	0	0	3	0	0	0	7	13	12	0	0	1	11	0	0	0	0	2	444	6	8	0	0	4	14	6	0	1	563	15	0	71	0	18	0	0	0	0
A20R_scaffold13|length_2178	0	0	0	0	0	0	0	0	0	0	0	1221	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A39R_scaffold431|length_539	0	0	0	1	0	0	0	2	0	0	34	0	0	0	0	0	5	0	0	0	0	40	0	0	0	8	0	215	223	0	0	342	15	12	13	1	6	1	190	0	3	1	0	0	0	0	0	1	0	0	73	0	0	2	0	1	7	0	5	0
A36R_scaffold361|length_973	8	39	6	5	15	13	12	11	33	11	23	6	2	3	6	0	12	0	14	0	9	17	10	41	6	18	9	68	50	4	0	5	346	32	10	1	3	44	75	0	42	3	1	7	1	8	4	1	10	17	13	6	0	4	24	6	14	11	33	3
A40R_scaffold402|length_960	2	3	0	0	0	0	0	0	0	0	333	2	1	0	0	0	1	0	0	0	0	40	0	0	0	2	0	17	42	0	0	63	10	252	12	0	3	2	230	0	5	3	0	3	0	0	0	0	0	0	60	2	0	0	1	0	0	1	79	0
A12R_scaffold5|length_2988	0	0	1157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A57R_scaffold113|length_888	107	82	24	1	31	0	11	50	17	41	3	12	4	3	35	16	18	0	74	0	15	0	38	0	0	0	0	0	0	0	0	0	12	0	1	2	0	0	0	0	0	25	2	33	1	0	1	0	0	0	0	229	0	0	16	75	63	42	3	27
NC_004106.1	0	0	0	2	2	0	0	2	9	0	0	2	1	0	0	0	15	0	0	2	1	0	0	0	0	0	0	0	4	9	20	0	0	0	3	0	0	0	1	2	460	7	2	2	1	2	14	18	0	2	487	11	0	24	0	8	0	0	0	0
A37R_scaffold1091|length_801	0	0	0	7	0	0	1	0	0	0	0	0	0	326	2	0	4	43	0	95	19	0	4	0	18	11	1	3	15	120	119	0	0	6	32	0	0	0	0	5	98	0	11	0	36	0	0	19	0	2	31	0	0	76	0	3	0	0	0	1
A40R_scaffold559|length_692	0	0	1	0	0	0	0	0	0	0	175	1	0	0	0	0	1	0	0	0	0	63	0	0	0	9	0	0	3	0	0	2	2	716	27	0	10	0	29	0	4	2	0	0	0	0	0	0	0	0	3	0	0	0	2	0	1	1	55	1
A36R_scaffold260|length_1099	0	0	0	0	0	0	0	0	0	0	72	0	0	0	1	0	1	0	1	0	0	3	0	0	1	0	0	127	225	0	0	214	1	83	8	1	2	3	124	0	136	0	0	0	0	0	0	0	0	0	58	1	0	0	11	2	2	0	15	0
A39R_scaffold157|length_868	0	4	0	0	0	0	0	2	0	0	59	0	0	1	1	0	2	0	0	0	0	44	1	0	0	6	2	2	20	0	0	619	2	59	19	2	7	0	69	0	4	0	0	3	0	0	0	0	0	1	111	1	1	0	1	1	1	3	18	0
A39R_scaffold221|length_747	11	132	2	1	3	13	2	6	3	40	55	31	10	0	2	0	1	0	91	0	10	46	14	1	7	30	2	27	29	0	0	74	69	23	4	1	13	5	38	0	1	5	0	1	7	18	17	2	23	19	26	11	0	2	10	7	75	34	11	1
A36R_scaffold1315|length_528	0	0	13	0	0	0	25	0	0	0	0	0	2	0	1	0	3	27	0	139	3	0	0	1	9	0	1	0	48	82	66	0	0	27	28	0	0	3	0	21	13	88	42	7	23	0	0	236	0	3	86	1	0	33	4	8	6	8	4	0
A21R_scaffold1|length_2978	0	0	1	0	0	0	2	0	0	0	0	3	362	0	24	0	0	1	0	27	1	0	1	0	15	0	0	0	2	21	16	0	7	2	16	1	0	0	0	5	18	100	44	9	26	3	0	107	1	15	4	0	0	202	0	0	0	0	2	18
A36R_scaffold1077|length_578	0	0	0	0	0	0	0	0	2	0	16	0	2	1	0	0	1	0	0	0	0	32	0	0	0	41	0	109	192	1	0	174	236	7	10	0	5	3	137	0	4	2	1	0	0	0	0	2	0	0	39	1	0	0	0	0	1	0	10	0
A2R_scaffold182|length_2171	2	0	0	0	2	1	0	5	0	0	5	1	0	0	0	0	0	0	0	0	0	944	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	2	6	0
A15R_scaffold249|length_1557	0	0	0	0	0	972	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A58R_scaffold626|length_569	29	3	17	4	14	12	6	29	21	17	0	25	16	3	3	3	19	0	5	0	25	1	38	23	7	11	4	3	0	0	0	0	47	0	9	14	11	2	0	0	10	6	2	1	6	60	12	6	20	275	0	4	36	16	7	23	33	21	0	6
A37R_scaffold2456|length_544	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	68	0	0	0	862	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A38R_scaffold2169|length_531	0	0	0	0	1	0	10	0	2	0	0	0	0	1	16	1	1	5	0	110	9	0	5	0	132	0	0	0	27	42	98	0	0	14	63	0	0	0	0	10	19	74	14	1	21	0	0	132	0	8	19	2	0	110	0	0	0	2	0	0
A46R_scaffold876|length_504	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	33	0	0	0	872	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
A53R_scaffold1208|length_561	13	2	4	0	1	0	7	2	0	2	0	15	1	2	1	2	1	2	62	59	9	1	1	0	21	6	7	0	9	24	35	0	2	7	8	0	1	0	0	9	23	24	63	18	2	5	1	208	4	21	42	4	0	131	4	24	21	2	2	1
A45R_scaffold105|length_892	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	94	0	0	0	12	0	2	2	1	0	3	5	5	0	0	0	0	751	0	6	1	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	11	0
A48R_scaffold420|length_715	0	0	17	0	0	0	25	0	0	0	0	1	4	0	1	0	4	6	0	84	0	0	1	0	5	0	2	0	19	51	25	0	0	9	5	0	0	0	0	10	41	18	55	31	5	0	0	328	0	3	104	3	0	29	0	4	0	1	1	0
A38R_scaffold99|length_2252	0	0	0	2	0	0	2	0	0	0	0	0	0	31	0	0	3	35	0	66	0	0	121	0	3	0	0	1	39	161	249	0	0	7	31	3	0	0	0	4	11	0	13	6	37	0	0	10	0	17	32	2	0	0	0	3	0	0	0	0
A58R_scaffold371|length_740	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	17	0	14	0	81	14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	15	1	702	25	0	11	0	0	0	0
A37R_scaffold84|length_1947	6	2	0	2	1	0	1	1	2	0	0	0	0	0	1	0	1	0	2	0	0	0	1	1	0	1	3	0	0	43	0	0	0	0	2	62	1	1	0	161	1	3	0	1	0	0	3	0	1	0	0	0	0	12	0	1	549	0	0	1
A46R_scaffold459|length_703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	20	0	0	0	820	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A53R_scaffold1306|length_546	16	7	10	1	8	13	17	9	24	8	0	2	2	5	2	4	12	0	5	2	4	19	5	54	25	5	27	5	1	1	1	0	305	0	19	1	5	92	0	0	38	5	6	7	1	3	0	4	0	0	1	0	0	17	31	5	6	12	0	3
A56R_scaffold17|length_2586	0	0	3	2	0	0	8	0	0	0	0	0	0	26	2	2	3	15	0	123	8	0	3	2	4	0	0	0	45	76	70	0	0	8	34	0	0	2	0	12	2	44	36	10	13	0	0	180	2	6	81	5	0	13	1	6	2	0	0	0
A39R_scaffold208|length_767	4	6	3	0	0	0	1	4	1	4	0	0	1	0	1	2	3	0	17	0	1	1	0	1	1	2	0	46	52	0	0	614	1	0	27	2	8	4	2	0	1	1	0	0	0	1	4	0	0	2	1	1	0	0	1	0	2	1	2	0
A46R_scaffold348|length_801	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	33	1	0	0	761	7	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
A56R_scaffold196|length_1112	0	0	11	0	0	0	16	0	2	0	25	0	0	0	1	2	1	0	0	50	0	13	0	0	17	31	0	60	82	71	77	51	9	32	15	0	4	1	29	2	5	32	13	0	0	2	0	43	0	23	48	1	0	25	0	1	1	0	17	0
A46R_scaffold52|length_1537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	16	0	0	0	782	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A23R_scaffold469|length_956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	1	0	0	0	0	0	0	0	0	0	0
A58R_scaffold396|length_726	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	159	12	0	0	0	5	0	0	0	0	0	39	0	0	0	0	2	0	0	0	0	0	0	547	10	0	13	0	0	0	0
A2R_scaffold425|length_1629	0	4	0	0	1	1	0	1	0	0	20	1	0	0	0	0	0	0	0	0	0	684	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	1	0	37	3	16	0
A1R_scaffold846|length_655	2	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0	1	0	39	0	0	0	21	0	5	6	3	0	14	17	160	7	0	4	1	40	0	0	0	0	3	0	0	0	0	0	0	16	0	0	0	3	0	1	1	193	0
