ID	A10R	A11R	A12R	A13R	A14R	A15R	A16R	A17R	A18R	A19R	A1R	A20R	A21R	A22R	A23R	A24R	A25R	A26R	A27R	A28R	A29R	A2R	A30R	A31R	A32R	A33R	A34R	A35R	A36R	A37R	A38R	A39R	A3R	A40R	A41R	A42R	A43R	A44R	A45R	A46R	A47R	A48R	A49R	A4R	A50R	A51R	A52R	A53R	A54R	A55R	A56R	A57R	A58R	A59R	A5R	A60R	A6R	A7R	A8R	A9R
A36R_scaffold306|length_1041	0	0	45	2	3	0	379	3	1	0	63	8	3	2	14	13	31	101	3	322	7	25	8	0	71	48	5	232	464	496	168	516	23	107	161	1	11	1	94	54	266	612	412	792	92	10	3	541	3	65	516	10	0	309	147	28	11	209	70	2
A42R_scaffold189|length_1294	463	305	200	10	348	7	27	751	276	563	3	192	124	96	266	81	247	24	975	6	126	0	565	0	2	7	6	0	0	1	1	0	67	0	36	48	2	7	0	0	0	18	14	27	5	68	49	6	50	121	0	295	0	30	14	186	144	218	21	237
A38R_scaffold223|length_1655	0	0	0	4	0	0	24	0	3	2	0	5	0	4	29	5	7	33	0	674	21	0	9	0	893	4	3	5	188	325	707	0	0	124	498	7	0	3	0	85	363	689	281	6	117	10	0	839	5	69	131	4	0	810	2	7	0	14	2	0
A58R_scaffold341|length_769	0	2	14	0	0	0	3	0	0	0	0	0	3	1	0	3	0	0	0	1	0	0	1	0	3	0	0	0	2	917	178	0	0	0	11	14	2	0	0	2	0	0	2	0	17	2	2	0	0	4	4	0	5360	185	0	144	0	0	0	0
A46R_scaffold285|length_871	715	557	213	5	272	1	87	685	220	197	5	161	90	71	239	50	193	34	899	46	107	7	342	0	25	0	6	1	11	22	21	0	67	6	14	24	0	1	0	4	4	90	27	136	12	5	2	153	12	27	22	92	0	35	33	124	258	184	29	157
A37R_scaffold1910|length_624	0	0	1	8	0	0	3	0	7	6	0	2	0	714	1	0	23	206	2	1143	25	0	9	0	35	6	1	2	124	1452	1451	0	0	82	86	0	2	1	0	18	699	0	20	2	26	0	2	15	2	3	583	4	0	19	0	4	2	2	0	2
A39R_scaffold17|length_1816	2	7	0	2	0	0	3	0	0	1	968	8	1	0	1	2	17	0	0	1	0	248	3	0	0	5	1	1108	671	2	1	1560	91	862	71	4	36	15	92	1	4	5	0	3	2	1	0	0	0	1	512	7	0	4	1	3	11	0	238	1
A2R_scaffold1094|length_1072	6	6	4	0	3	0	0	2	0	0	1638	4	2	1	0	2	10	0	2	0	0	668	0	0	0	168	1	4	20	3	0	7	340	2226	73	2	17	3	173	1	7	7	0	13	0	0	0	1	0	0	95	2	0	0	7	1	16	20	875	5
A26R_scaffold469|length_1089	0	6	7	68	2	1	11	25	1	17	0	47	1424	264	153	98	36	2732	9	227	52	0	32	3	23	1	2	1	25	286	352	1	0	10	20	3	13	1	0	5	141	3	15	1	17	0	1	105	2	6	108	3	0	16	4	2	1	3	2	13
A49R_scaffold23|length_1488	422	224	139	9	297	14	55	236	112	322	6	364	77	50	115	61	127	6	318	3	59	2	197	11	27	18	28	0	0	0	0	0	116	0	36	6	58	12	0	0	6	58	336	190	73	338	121	10	132	216	0	95	0	195	50	226	261	194	32	100
A36R_scaffold1464|length_503	0	0	6	1	0	0	110	4	0	0	1	9	0	3	7	7	4	18	0	131	4	5	1	0	167	1	4	0	83	116	193	0	73	20	107	3	2	2	0	31	208	525	746	1819	175	16	1	526	5	82	87	4	0	416	57	32	22	46	13	0
A58R_scaffold484|length_647	186	144	262	50	161	166	123	179	111	283	1	367	395	59	83	52	348	27	70	2	120	12	420	54	97	51	10	4	0	3	1	0	247	0	21	4	22	13	0	0	88	11	13	37	71	135	67	15	97	229	0	8	308	89	38	99	113	176	5	62
A56R_scaffold223|length_1040	39	135	76	17	12	8	25	56	43	86	0	72	42	112	22	19	32	57	8	157	37	0	50	25	319	124	57	2	24	289	407	0	5	13	210	49	104	511	0	10	297	174	81	25	109	111	90	20	632	177	67	12	0	580	12	38	63	23	4	34
A39R_scaffold51|length_1383	6	3	5	1	2	0	3	5	0	4	381	3	0	0	4	0	39	0	0	0	0	45	0	0	1	6	0	835	765	1	0	1601	193	338	70	4	22	3	569	1	3	10	2	1	0	0	0	0	0	0	735	12	0	12	3	7	0	0	70	1
A26R_scaffold5|length_4579	3	18	1	0	0	0	1	3	5	5	0	1	4	1	0	0	0	5260	110	0	5	0	5	1	3	1	1	0	0	0	0	0	1	0	0	1	1	2	0	0	0	1	0	5	0	1	2	1	1	1	0	2	0	3	4	0	40	12	1	1
A26R_scaffold31|length_2281	165	241	159	43	111	24	56	477	118	274	1	157	453	131	164	133	149	200	304	5	215	0	312	4	26	10	14	0	0	0	0	0	30	1	38	13	7	12	0	0	12	4	10	6	33	127	107	14	71	255	0	57	0	96	34	40	151	132	27	190
A39R_scaffold284|length_663	7	3	0	0	0	1	0	3	0	1	22	2	1	0	1	1	6	0	4	0	0	19	1	0	1	326	0	2039	1068	9	3	1636	45	13	51	2	24	3	60	1	2	5	0	2	0	2	0	0	0	2	5	0	0	1	3	0	1	2	13	3
A38R_scaffold2402|length_502	60	46	28	0	31	11	26	61	25	50	1	14	5	2	47	4	15	19	79	691	18	0	59	0	399	2	4	5	130	206	501	0	48	70	239	2	19	3	0	30	327	350	110	19	58	38	135	401	90	147	73	29	0	530	11	36	29	33	2	11
A37R_scaffold790|length_915	68	52	30	12	38	21	23	21	15	98	0	125	61	11	10	15	54	3	18	16	18	1	58	16	53	5	11	2	2	1760	392	0	90	2	49	4	96	41	0	1	44	14	3	7	27	81	51	10	282	437	4	1	883	65	7	93	37	31	1	2
