sample	group1
Zh_M1_S27	zh
Zh_M1_S36	zh
Zh_M1_S37	zh
Zh_M1_S38	zh
Zh_M1_S40	zh
Zh_M1_S41	zh
Zh_M1_S42	zh
Zh_M1_S43	zh
Zh_M1_S45	zh
Zh_M1_S46	zh
Zh_M1_S48	zh
Zh_M1_S49	zh
Zh_M1_S55	zh
Zh_M1_S58	zh
Zh_M1_S60	zh
Zh_M1_S62	zh
Zh_M1_S63	zh
Zh_M1_S65	zh
Zh_M1_S68	zh
Zh_M1_S71	zh
Zh_M1_S73	zh
Zh_M1_S74	zh
Zh_M1_S75	zh
Zh_M1_S80	zh
Zh_M1_S82	zh
