name	Isloated	Phylum
AF25_17LB	gut	Bacteroidetes
AF25_5LB	gut	Bacteroidetes
AF26_10BH	gut	Bacteroidetes
AF29_11	gut	Bacteroidetes
AF33_23	gut	Bacteroidetes
AF34_31BH	gut	Bacteroidetes
AF37_16AC	gut	Bacteroidetes
AF39_16AC	gut	Bacteroidetes
AM07_18	gut	Bacteroidetes
AM26_2	gut	Bacteroidetes
AM32_11AC	gut	Bacteroidetes
AM41_16	gut	Bacteroidetes
AM44_19	gut	Bacteroidetes
AM51_7	gut	Bacteroidetes
OM08_13	gut	Bacteroidetes
TM06_34	gut	Bacteroidetes
TM09_11	gut	Bacteroidetes
OF03_9BH	gut	Bacteroidetes
AF05_4	gut	Bacteroidetes
AF12_7	gut	Bacteroidetes
AF16_30	gut	Bacteroidetes
AF19_2	gut	Bacteroidetes
AF25_30AC	gut	Bacteroidetes
AF25_6	gut	Bacteroidetes
AF26_20BH	gut	Bacteroidetes
AF35_14BH	gut	Bacteroidetes
AF35_20	gut	Bacteroidetes
AF37_11AC	gut	Bacteroidetes
AF41_6	gut	Bacteroidetes
AM25_16	gut	Bacteroidetes
AM27_18	gut	Bacteroidetes
AM28_15	gut	Bacteroidetes
AM32_16LB	gut	Bacteroidetes
AM36_9BH	gut	Bacteroidetes
AM40_34	gut	Bacteroidetes
AM47_5	gut	Bacteroidetes
AM49_4	gut	Bacteroidetes
AM50_6	gut	Bacteroidetes
AM51_2BH	gut	Bacteroidetes
TF03_6	gut	Bacteroidetes
TF05_14	gut	Bacteroidetes
TM06_26	gut	Bacteroidetes
AF03_26	gut	Bacteroidetes
AF14_20	gut	Bacteroidetes
AF24_19LB	gut	Bacteroidetes
AF37_12	gut	Bacteroidetes
AF45_16BH	gut	Bacteroidetes
AM09_21	gut	Bacteroidetes
AM15_10	gut	Bacteroidetes
AM26_17LB	gut	Bacteroidetes
AM30_26	gut	Bacteroidetes
AM51_2	gut	Bacteroidetes
OF03_10BH	gut	Bacteroidetes
OF05_16BH	gut	Bacteroidetes
AF14_14	gut	Bacteroidetes
AF14_42	gut	Bacteroidetes
AF17_20	gut	Bacteroidetes
AF19_23	gut	Bacteroidetes
AF19_3LB	gut	Bacteroidetes
AF21_53	gut	Bacteroidetes
AF28_11	gut	Bacteroidetes
AF32_17	gut	Bacteroidetes
AF42_11	gut	Bacteroidetes
AM09_11	gut	Bacteroidetes
AM14_1	gut	Bacteroidetes
AM16_3	gut	Bacteroidetes
AM18_14LB	gut	Bacteroidetes
AM21_40	gut	Bacteroidetes
AM27_46	gut	Bacteroidetes
AM28_49	gut	Bacteroidetes
AM29_12AC	gut	Bacteroidetes
AM29_1AC	gut	Bacteroidetes
AM29_2AC	gut	Bacteroidetes
AM29_4LB	gut	Bacteroidetes
AM30_49	gut	Bacteroidetes
AM31_23	gut	Bacteroidetes
AM34_25	gut	Bacteroidetes
AM37_7	gut	Bacteroidetes
AM39_1	gut	Bacteroidetes
AM43_9	gut	Bacteroidetes
AM50_4	gut	Bacteroidetes
OF03_17	gut	Bacteroidetes
OF04_14	gut	Bacteroidetes
OM03_4	gut	Bacteroidetes
OM04_14BH	gut	Bacteroidetes
OM05_11BH	gut	Bacteroidetes
OM05_12BH	gut	Bacteroidetes
OM07_9	gut	Bacteroidetes
TF07_2	gut	Bacteroidetes
TF08_13	gut	Bacteroidetes
TF09_22	gut	Bacteroidetes
TM04_30	gut	Bacteroidetes
TM10_17	gut	Bacteroidetes
AF04_12	gut	Bacteroidetes
AF04_25	gut	Bacteroidetes
AF12_25	gut	Bacteroidetes
AF13_53	gut	Bacteroidetes
AF14_8	gut	Bacteroidetes
AF15_6A	gut	Bacteroidetes
AF16_11	gut	Bacteroidetes
AF18_14	gut	Bacteroidetes
AF19_16	gut	Bacteroidetes
AF20_10	gut	Bacteroidetes
AF20_1LB	gut	Bacteroidetes
AF21_45	gut	Bacteroidetes
AF25_30LB	gut	Bacteroidetes
AF26_3BH	gut	Bacteroidetes
AF28_7	gut	Bacteroidetes
AF29_13	gut	Bacteroidetes
AF31_3	gut	Bacteroidetes
AF34_15	gut	Bacteroidetes
AF35_11AC	gut	Bacteroidetes
AF35_15AC	gut	Bacteroidetes
AF36_14BH	gut	Bacteroidetes
AF37_17	gut	Bacteroidetes
AF39_1	gut	Bacteroidetes
AF39_8AT	gut	Bacteroidetes
AF41_7	gut	Bacteroidetes
AF41_8MH	gut	Bacteroidetes
AF46_14NS	gut	Bacteroidetes
AM09_18	gut	Bacteroidetes
AM13_10	gut	Bacteroidetes
AM13_21	gut	Bacteroidetes
AM14_27	gut	Bacteroidetes
AM16_6	gut	Bacteroidetes
AM17_30	gut	Bacteroidetes
AM21_14	gut	Bacteroidetes
AM21_42	gut	Bacteroidetes
AM25_23	gut	Bacteroidetes
AM28_1	gut	Bacteroidetes
AM29_2	gut	Bacteroidetes
AM30_40	gut	Bacteroidetes
AM32_26AC	gut	Bacteroidetes
AM34_18LB	gut	Bacteroidetes
AM35_11	gut	Bacteroidetes
AM37_2	gut	Bacteroidetes
AM38_19	gut	Bacteroidetes
AM39_10	gut	Bacteroidetes
AM39_30BH	gut	Bacteroidetes
AM43_4BH	gut	Bacteroidetes
AM44_21	gut	Bacteroidetes
AM46_1	gut	Bacteroidetes
AM49_11	gut	Bacteroidetes
AM51_1	gut	Bacteroidetes
AM54_29XD	gut	Bacteroidetes
CF01_10	gut	Bacteroidetes
OF05_14BH	gut	Bacteroidetes
OF05_20BH	gut	Bacteroidetes
OM03_13AC	gut	Bacteroidetes
OM06_14	gut	Bacteroidetes
OM06_31AC	gut	Bacteroidetes
OM07_1BH	gut	Bacteroidetes
OM07_4AC	gut	Bacteroidetes
OM08_13BH	gut	Bacteroidetes
TF05_18	gut	Bacteroidetes
TF10_3	gut	Bacteroidetes
TM04_10	gut	Bacteroidetes
TM05_16	gut	Bacteroidetes
TM06_6	gut	Bacteroidetes
AF14_7	gut	Bacteroidetes
AF21_6AC	gut	Bacteroidetes
AF38_2	gut	Bacteroidetes
AF39_6AC	gut	Bacteroidetes
AF46_11NS	gut	Bacteroidetes
AM26_1	gut	Bacteroidetes
AM30_47	gut	Bacteroidetes
TF10_34	gut	Bacteroidetes
TM09_13	gut	Bacteroidetes
AF14_56	gut	Actinobacteria
AF15_3	gut	Actinobacteria
AF21_27	gut	Actinobacteria
AF45_19	gut	Actinobacteria
AM12_20	gut	Actinobacteria
AM13_11	gut	Actinobacteria
AM36_3AC	gut	Actinobacteria
AM41_17	gut	Actinobacteria
TF06_10AC	gut	Actinobacteria
TF06_29	gut	Actinobacteria
TF06_2AC	gut	Actinobacteria
OM05_7AA	gut	Actinobacteria
TF04_14	gut	Actinobacteria
AF11_25B	gut	Actinobacteria
AF45_10	gut	Actinobacteria
AM12_10	gut	Actinobacteria
AM12_9	gut	Actinobacteria
AM18_1	gut	Actinobacteria
AM18_11	gut	Actinobacteria
AM18_12AC	gut	Actinobacteria
AM18_29	gut	Actinobacteria
AM36_1AC	gut	Actinobacteria
AM42_15AC	gut	Actinobacteria
TF05_1	gut	Actinobacteria
TF05_39	gut	Actinobacteria
TF06_13	gut	Actinobacteria
TF06_14AC	gut	Actinobacteria
TF07_22	gut	Actinobacteria
TM02_15	gut	Actinobacteria
TM02_17	gut	Actinobacteria
TM04_12	gut	Actinobacteria
TM05_15	gut	Actinobacteria
TM06_10	gut	Actinobacteria
TM06_5	gut	Actinobacteria
TM07_4AC	gut	Actinobacteria
AF03_10	gut	Actinobacteria
AF03_20	gut	Actinobacteria
AF03_27	gut	Actinobacteria
AF04_13	gut	Actinobacteria
AF05_16	gut	Actinobacteria
