group	Birdfece03	Birdfece05	Birdfece06	Birdfece18	Birdfece20	Birdfece22	Birdfece23	Birdfece28	Cattlefece01	Cattlefece03	Cattlefece05	Cattlefece10	Cattlefece11	Cattlefece12	Sheepfece02	Sheepfece04	Sheepfece09	Sheepfece11	Sheepfece15	Sheepfece16	Soil01	Soil02	Soil03	Soil06	Soil08	Soil12	Soil13	Water01	Water02
Birdfece03	771.5389736118648	12.651852377131839	9.035023780046538	71.61200244677232	12.716171688237225	197.809056181558	3.1246124309207035	0.16479320753522309	0.04371079514032421	2.105044525383298	0.21694453545554562	0.0	43.9589300064493	0.681637893892252	0.1266464847089902	0.2831594427309734	0.9277453925946848	0.28602589984441756	1.748811102167279	2.157725151002327	0.0501282639766332	0.0	0.1021474725568752	0.11517603565043981	0.11267279627603109	0.00498562237096971	0.0	0.0	0.0100272286079854
Birdfece05	79.21918377108183	51.063950281480054	6.391084506771323	2.2591472371605987	0.2792954045717984	1.1599760166862825	0.0	0.0	0.0	0.290882263954572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22968592792460962	0.0326762538126143	0.0714609448038957	0.0	0.0	0.0	0.0246641310310161
Birdfece06	24.72853912361796	1.8475197519995263	392.62814596729544	92.81301784770936	0.20999230167650101	0.623518665619306	0.0128197135665953	0.0	0.566027251500254	0.9160464415101561	0.0	0.0	0.159187548736012	0.0	0.6830110457140671	0.30861850663691437	0.48476034678332774	0.0921184245608347	0.0291568915971663	0.0	0.062384512891423605	0.0	0.12240854510168316	0.0	0.0893141324290185	0.0	0.0	0.0403531778890666	0.03711751543993786
Birdfece18	43.6630904971985	4.878915520980976	10.06618989240657	89.99591002401695	1.4253673699090372	0.0	0.0	0.0	0.07897540413993274	0.0	0.0	0.0	0.0	0.0	0.0193744567873843	0.0	0.0	0.0	0.0	0.0	0.0119388151355555	0.0	0.0245485344837711	0.1980935594494041	0.0517472035511067	0.0	0.0462170449893355	0.0	0.0
Birdfece20	620.5324864167593	0.08276934363190261	0.18302618453095706	0.690382611938885	23.86842685390401	201.93540411188854	2.40361776221997	0.3806997722414146	0.053017683539830704	1.906092416695922	0.12218538526646286	0.0	43.704256766237854	0.47588077569303866	0.0451587300362168	0.39017904584792557	1.022590495403261	0.4379573118453161	1.6721201802523649	1.9034727844874881	0.005252619915546979	0.0439792500567947	0.1010745181682968	0.5049890159799189	0.25589102360854155	0.0	0.0789828604668495	0.0427977901678288	0.0437321987188605
Birdfece22	620.1627588286901	0.262320785207031	0.27967598941790806	0.0	13.295685626313205	194.37510302498842	2.575383363500723	0.22048204861796344	0.0336776070785097	1.9220866174032227	0.13889600966236385	0.0	41.91821762382169	0.537283688556886	0.061750432466191094	0.1656877824596025	0.7385139220721094	0.2991554348594479	1.554318960068981	2.1245925347202284	0.0396230241455392	0.0	0.060264903108882	0.0989023798539584	0.0279580267042756	0.0	0.0	0.0	0.008926469378292279
Birdfece23	49.63238462602576	0.0	0.09190408524702676	0.0	1.108006220267485	16.38289079553304	98.05538424331168	0.5633836944233893	0.0154627168059608	2.851196484216739	0.0807940888726722	0.0	7.023116790185524	0.110618000305962	0.0374289992437545	0.2855793055890404	0.3030849638963972	0.03298327747408636	0.654510347099871	0.5136689320068318	0.0	0.0	0.0	0.0	0.020918061326762098	0.0	0.0	0.029376846925682196	0.01895369798627768
Cattlefece01	0.0	0.0	0.176872565370141	0.0	0.14846184693099598	0.0	0.0	0.0	2.588229987214677	0.130256860549561	0.1344239960245332	0.0	0.0	0.0340784362941568	1.016214012595912	0.386408104923462	1.6762609072445263	0.5064434001814666	0.0	0.0	0.0	0.0	0.0252090331694331	0.0	0.0	0.025049712400482003	0.0	0.0	0.0
Cattlefece03	63.27480151476573	0.139244970827808	0.17983888441875967	0.770152676987609	1.4137748640240544	18.628019507849896	7.278573943778703	0.19926019741206488	0.1553658796458986	35.65515801348533	2.682518562578303	1.747199285952135	8.655939201095327	3.874461737491104	0.1004249414196465	0.4722188016624317	1.1654772729563345	0.38045771495309944	0.865347044001994	0.4816739136925704	0.0	0.0	0.0	0.23480722694408313	0.09089969424551421	0.0	0.0	0.0	0.0285157898495583
Cattlefece05	0.101950704761794	0.0	0.0	0.0	0.0	0.0	0.0184196606480323	0.0	0.2722709436396022	6.306173212367719	6.065182139528424	0.4847345103023873	0.4473507514149394	2.495481758872753	0.4201705830592922	0.600700902967206	0.6511930649472855	0.40394291557259077	0.1544367918821751	0.29318725498960985	0.0	0.0	0.0	0.1027790455266587	0.0	0.0	0.0	0.0	0.0
